============================================================
[START] 2026-03-20 16:04:16 worker=2 gpu=2
CUDA_VISIBLE_DEVICES=2
base_cfg=config/base_reconst_top3.yaml
train_cfg=config/train_stage2_unfreeze_lr1e-04_aw0p01.yaml
exp_suffix=train_stage2_unfreeze_lr1e-04_aw0p01
============================================================
[SYNC] runs/hpo_stage1c_reconst/pretrain/pohang_hpo3_reconst_L6_D128_BP5_60 -> ./runs/hpo_stage2_reconst/pretrain/pohang_hpo3_reconst_L6_D128_BP5_60
/home/ted1204/MS_Detection/src/training/trainer_finetune.py:189: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  ckpt = torch.load(encoder_ckpt_path, map_location="cpu")
[INFO] device: cuda
[INFO] visible GPUs: 0
[INFO] device: cuda
[INFO] save_dir: runs/hpo_stage2_reconst/finetune/pohang_hpo3_reconst_L6_D128_BP5_60__train_stage2_unfreeze_lr1e-04_aw0p01
[INFO] model params: 6,421,473
[DEBUG] pretrained_encoder_path = runs/hpo_stage2_reconst/pretrain/pohang_hpo3_reconst_L6_D128_BP5_60/best_encoder.pt
[INFO] loaded encoder weights from: runs/hpo_stage2_reconst/pretrain/pohang_hpo3_reconst_L6_D128_BP5_60/best_encoder.pt
[INFO] encoder load missing keys   : 0
[INFO] encoder load unexpected keys: 0
[INFO] center_c shape: (128,)
[Epoch 001/150] train_loss=0.621861 | val_loss=0.687797 | val_acc=0.7128 | best_metric=0.7128 (epoch 1) | time=10.4s
[Epoch 002/150] train_loss=0.547481 | val_loss=0.521627 | val_acc=0.8097 | best_metric=0.8097 (epoch 2) | time=10.7s
[Epoch 003/150] train_loss=0.480227 | val_loss=0.467979 | val_acc=0.7647 | best_metric=0.8097 (epoch 2) | time=10.8s
[Epoch 004/150] train_loss=0.422346 | val_loss=0.376237 | val_acc=0.8616 | best_metric=0.8616 (epoch 4) | time=11.0s
[Epoch 005/150] train_loss=0.390767 | val_loss=0.324529 | val_acc=0.9100 | best_metric=0.9100 (epoch 5) | time=10.8s
[Epoch 006/150] train_loss=0.371098 | val_loss=0.498058 | val_acc=0.8062 | best_metric=0.9100 (epoch 5) | time=10.9s
[Epoch 007/150] train_loss=0.340495 | val_loss=0.330054 | val_acc=0.8997 | best_metric=0.9100 (epoch 5) | time=10.2s
[Epoch 008/150] train_loss=0.307033 | val_loss=0.436680 | val_acc=0.7958 | best_metric=0.9100 (epoch 5) | time=11.0s
[Epoch 009/150] train_loss=0.297819 | val_loss=0.326575 | val_acc=0.8962 | best_metric=0.9100 (epoch 5) | time=11.3s
[Epoch 010/150] train_loss=0.271861 | val_loss=0.329579 | val_acc=0.8754 | best_metric=0.9100 (epoch 5) | time=10.9s
[Epoch 011/150] train_loss=0.256581 | val_loss=0.474564 | val_acc=0.7647 | best_metric=0.9100 (epoch 5) | time=11.2s
[Epoch 012/150] train_loss=0.225076 | val_loss=0.300117 | val_acc=0.9135 | best_metric=0.9135 (epoch 12) | time=11.3s
[Epoch 013/150] train_loss=0.249260 | val_loss=0.634733 | val_acc=0.7024 | best_metric=0.9135 (epoch 12) | time=11.6s
[Epoch 014/150] train_loss=0.254898 | val_loss=0.303764 | val_acc=0.8927 | best_metric=0.9135 (epoch 12) | time=11.5s
[Epoch 015/150] train_loss=0.209798 | val_loss=0.248227 | val_acc=0.9516 | best_metric=0.9516 (epoch 15) | time=10.9s
