============================================================
[PRETRAIN START] 2026-03-20 18:11:47 gpu=2
CUDA_VISIBLE_DEVICES=2
base_cfg=config/base_reconst_L7_D512_BP5_60.yaml
stage_cfg=config/pretrain_reconst.yaml
============================================================
[INFO] device: cuda
[INFO] visible GPUs: 0
[INFO] device: cuda
[INFO] pretrain mode: reconstruction
[INFO] save_dir: runs/hpo_stage2_reconst/pretrain/pohang_hpo3_reconst_L7_D512_BP5_60
[INFO] model params: 87,723,457
[Epoch 001/150] loss=8.697041 | best=8.697041 (epoch 1) | time=65.1s
[Epoch 002/150] loss=3.618234 | best=3.618234 (epoch 2) | time=69.4s
[Epoch 003/150] loss=3.618062 | best=3.618062 (epoch 3) | time=68.1s
[Epoch 004/150] loss=3.618848 | best=3.618062 (epoch 3) | time=52.8s
[Epoch 005/150] loss=3.617563 | best=3.617563 (epoch 5) | time=68.8s
[Epoch 006/150] loss=3.617214 | best=3.617214 (epoch 6) | time=64.7s
[Epoch 007/150] loss=3.618745 | best=3.617214 (epoch 6) | time=51.9s
[Epoch 008/150] loss=3.617580 | best=3.617214 (epoch 6) | time=51.8s
[Epoch 009/150] loss=3.620134 | best=3.617214 (epoch 6) | time=52.9s
[Epoch 010/150] loss=3.615077 | best=3.615077 (epoch 10) | time=58.8s
[Epoch 011/150] loss=3.617047 | best=3.615077 (epoch 10) | time=44.6s
[Epoch 012/150] loss=3.618018 | best=3.615077 (epoch 10) | time=44.7s
[Epoch 013/150] loss=3.615918 | best=3.615077 (epoch 10) | time=44.8s
[Epoch 014/150] loss=3.618819 | best=3.615077 (epoch 10) | time=44.8s
[Epoch 015/150] loss=3.617516 | best=3.615077 (epoch 10) | time=44.5s
[Epoch 016/150] loss=3.618210 | best=3.615077 (epoch 10) | time=53.1s
[Epoch 017/150] loss=3.617739 | best=3.615077 (epoch 10) | time=53.1s
[Epoch 018/150] loss=3.618187 | best=3.615077 (epoch 10) | time=44.5s
[Epoch 019/150] loss=3.616919 | best=3.615077 (epoch 10) | time=44.7s
[Epoch 020/150] loss=3.617440 | best=3.615077 (epoch 10) | time=45.4s
[Epoch 021/150] loss=3.613711 | best=3.613711 (epoch 21) | time=52.9s
[Epoch 022/150] loss=3.618158 | best=3.613711 (epoch 21) | time=45.6s
[Epoch 023/150] loss=3.617172 | best=3.613711 (epoch 21) | time=45.0s
[Epoch 024/150] loss=3.617081 | best=3.613711 (epoch 21) | time=53.0s
[Epoch 025/150] loss=3.616226 | best=3.613711 (epoch 21) | time=53.0s
[Epoch 026/150] loss=3.618046 | best=3.613711 (epoch 21) | time=45.0s
[Epoch 027/150] loss=3.607481 | best=3.607481 (epoch 27) | time=53.3s
[Epoch 028/150] loss=3.426579 | best=3.426579 (epoch 28) | time=53.1s
[Epoch 029/150] loss=2.931189 | best=2.931189 (epoch 29) | time=54.1s
[Epoch 030/150] loss=2.566712 | best=2.566712 (epoch 30) | time=53.6s
[Epoch 031/150] loss=2.374683 | best=2.374683 (epoch 31) | time=53.6s
[Epoch 032/150] loss=2.244801 | best=2.244801 (epoch 32) | time=53.4s
[Epoch 033/150] loss=1.970595 | best=1.970595 (epoch 33) | time=54.6s
[Epoch 034/150] loss=1.718213 | best=1.718213 (epoch 34) | time=54.0s
[Epoch 035/150] loss=1.493709 | best=1.493709 (epoch 35) | time=53.8s
[Epoch 036/150] loss=1.368012 | best=1.368012 (epoch 36) | time=53.1s
[Epoch 037/150] loss=1.218133 | best=1.218133 (epoch 37) | time=52.3s
[Epoch 038/150] loss=1.106428 | best=1.106428 (epoch 38) | time=53.1s
