============================================================
[START] 2026-03-19 14:04:01 worker=6 gpu=7 cfg=config/base_hpo3_reconst_15.yaml mode=full
============================================================
[INFO] CUDA_VISIBLE_DEVICES=7
[INFO] MODE=full
[INFO] BASE_CFG=config/base_hpo3_reconst_15.yaml
[INFO] device: cuda
[INFO] visible GPUs: 0
[INFO] device: cuda
[INFO] pretrain mode: reconstruction
[INFO] save_dir: runs/hpo_stage1c_reconst/pretrain/pohang_hpo3_reconst_L6_D256_BP5_80
[INFO] model params: 21,916,865
[Epoch 001/150] loss=6.452364 | best=6.452364 (epoch 1) | time=40.2s
[Epoch 002/150] loss=2.608380 | best=2.608380 (epoch 2) | time=40.3s
[Epoch 003/150] loss=2.563329 | best=2.563329 (epoch 3) | time=51.3s
[Epoch 004/150] loss=2.464478 | best=2.464478 (epoch 4) | time=46.2s
[Epoch 005/150] loss=2.232752 | best=2.232752 (epoch 5) | time=38.9s
[Epoch 006/150] loss=1.971355 | best=1.971355 (epoch 6) | time=44.6s
[Epoch 007/150] loss=1.632443 | best=1.632443 (epoch 7) | time=43.4s
[Epoch 008/150] loss=1.283967 | best=1.283967 (epoch 8) | time=41.5s
[Epoch 009/150] loss=1.007403 | best=1.007403 (epoch 9) | time=40.9s
[Epoch 010/150] loss=0.816382 | best=0.816382 (epoch 10) | time=42.9s
[Epoch 011/150] loss=0.706014 | best=0.706014 (epoch 11) | time=55.3s
[Epoch 012/150] loss=0.610858 | best=0.610858 (epoch 12) | time=48.5s
[Epoch 013/150] loss=0.541562 | best=0.541562 (epoch 13) | time=46.5s
[Epoch 014/150] loss=0.489133 | best=0.489133 (epoch 14) | time=38.9s
[Epoch 015/150] loss=0.457140 | best=0.457140 (epoch 15) | time=169.9s
[Epoch 016/150] loss=0.424182 | best=0.424182 (epoch 16) | time=129.2s
[Epoch 017/150] loss=0.399894 | best=0.399894 (epoch 17) | time=83.0s
[Epoch 018/150] loss=0.376001 | best=0.376001 (epoch 18) | time=47.1s
[Epoch 019/150] loss=0.359558 | best=0.359558 (epoch 19) | time=82.4s
[Epoch 020/150] loss=0.340372 | best=0.340372 (epoch 20) | time=42.6s
[Epoch 021/150] loss=0.328192 | best=0.328192 (epoch 21) | time=39.7s
[Epoch 022/150] loss=0.310995 | best=0.310995 (epoch 22) | time=41.7s
[Epoch 023/150] loss=0.299843 | best=0.299843 (epoch 23) | time=43.8s
[Epoch 024/150] loss=0.290608 | best=0.290608 (epoch 24) | time=47.1s
[Epoch 025/150] loss=0.286792 | best=0.286792 (epoch 25) | time=108.7s
[Epoch 026/150] loss=0.276432 | best=0.276432 (epoch 26) | time=99.3s
[Epoch 027/150] loss=0.267833 | best=0.267833 (epoch 27) | time=59.8s
[Epoch 028/150] loss=0.263212 | best=0.263212 (epoch 28) | time=75.2s
[Epoch 029/150] loss=0.255804 | best=0.255804 (epoch 29) | time=105.6s
[Epoch 030/150] loss=0.256354 | best=0.255804 (epoch 29) | time=40.7s
[Epoch 031/150] loss=0.251002 | best=0.251002 (epoch 31) | time=82.1s
[Epoch 032/150] loss=0.244335 | best=0.244335 (epoch 32) | time=79.9s
[Epoch 033/150] loss=0.241585 | best=0.241585 (epoch 33) | time=45.5s
[Epoch 034/150] loss=0.238266 | best=0.238266 (epoch 34) | time=53.4s
[Epoch 035/150] loss=0.236189 | best=0.236189 (epoch 35) | time=53.4s
[Epoch 036/150] loss=0.226922 | best=0.226922 (epoch 36) | time=50.7s
[Epoch 037/150] loss=0.225045 | best=0.225045 (epoch 37) | time=45.8s
[Epoch 038/150] loss=0.223228 | best=0.223228 (epoch 38) | time=50.2s
[Epoch 039/150] loss=0.216799 | best=0.216799 (epoch 39) | time=117.0s
[Epoch 040/150] loss=0.212048 | best=0.212048 (epoch 40) | time=111.6s
[Epoch 041/150] loss=0.196606 | best=0.196606 (epoch 41) | time=60.5s
[Epoch 042/150] loss=0.192175 | best=0.192175 (epoch 42) | time=134.5s
[Epoch 043/150] loss=0.180836 | best=0.180836 (epoch 43) | time=55.2s
[Epoch 044/150] loss=0.180962 | best=0.180836 (epoch 43) | time=81.6s
[Epoch 045/150] loss=0.177158 | best=0.177158 (epoch 45) | time=114.4s
[Epoch 046/150] loss=0.169008 | best=0.169008 (epoch 46) | time=91.8s
[Epoch 047/150] loss=0.167177 | best=0.167177 (epoch 47) | time=129.3s
[Epoch 048/150] loss=0.160398 | best=0.160398 (epoch 48) | time=127.9s
[Epoch 049/150] loss=0.155251 | best=0.155251 (epoch 49) | time=123.4s
[Epoch 050/150] loss=0.153214 | best=0.153214 (epoch 50) | time=95.6s
[Epoch 051/150] loss=0.146066 | best=0.146066 (epoch 51) | time=84.6s
[Epoch 052/150] loss=0.142262 | best=0.142262 (epoch 52) | time=55.2s
[Epoch 053/150] loss=0.142005 | best=0.142005 (epoch 53) | time=104.8s
[Epoch 054/150] loss=0.138463 | best=0.138463 (epoch 54) | time=113.4s
[Epoch 055/150] loss=0.135520 | best=0.135520 (epoch 55) | time=75.0s
[Epoch 056/150] loss=0.130533 | best=0.130533 (epoch 56) | time=83.7s
[Epoch 057/150] loss=0.131179 | best=0.130533 (epoch 56) | time=83.0s
[Epoch 058/150] loss=0.126468 | best=0.126468 (epoch 58) | time=44.5s
[Epoch 059/150] loss=0.120717 | best=0.120717 (epoch 59) | time=276.9s
[Epoch 060/150] loss=0.126538 | best=0.120717 (epoch 59) | time=469.3s
[Epoch 061/150] loss=0.120273 | best=0.120273 (epoch 61) | time=451.4s
[Epoch 062/150] loss=0.118826 | best=0.118826 (epoch 62) | time=257.3s
[Epoch 063/150] loss=0.116866 | best=0.116866 (epoch 63) | time=196.2s
[Epoch 064/150] loss=0.116308 | best=0.116308 (epoch 64) | time=177.8s
[Epoch 065/150] loss=0.114237 | best=0.114237 (epoch 65) | time=184.8s
[Epoch 066/150] loss=0.112824 | best=0.112824 (epoch 66) | time=211.4s
[Epoch 067/150] loss=0.111871 | best=0.111871 (epoch 67) | time=56.0s
[Epoch 068/150] loss=0.108427 | best=0.108427 (epoch 68) | time=104.9s
[Epoch 069/150] loss=0.105880 | best=0.105880 (epoch 69) | time=54.4s
[Epoch 070/150] loss=0.104280 | best=0.104280 (epoch 70) | time=60.9s
[Epoch 071/150] loss=0.106171 | best=0.104280 (epoch 70) | time=40.7s
[Epoch 072/150] loss=0.105824 | best=0.104280 (epoch 70) | time=40.0s
[Epoch 073/150] loss=0.103625 | best=0.103625 (epoch 73) | time=44.4s
[Epoch 074/150] loss=0.103646 | best=0.103625 (epoch 73) | time=42.9s
[Epoch 075/150] loss=0.097752 | best=0.097752 (epoch 75) | time=74.3s
[Epoch 076/150] loss=0.098424 | best=0.097752 (epoch 75) | time=49.5s
[Epoch 077/150] loss=0.097844 | best=0.097752 (epoch 75) | time=42.8s
[Epoch 078/150] loss=0.096258 | best=0.096258 (epoch 78) | time=75.6s
[Epoch 079/150] loss=0.094207 | best=0.094207 (epoch 79) | time=81.4s
[Epoch 080/150] loss=0.093612 | best=0.093612 (epoch 80) | time=63.7s
[Epoch 081/150] loss=0.090179 | best=0.090179 (epoch 81) | time=48.4s
[Epoch 082/150] loss=0.091294 | best=0.090179 (epoch 81) | time=42.1s
[Epoch 083/150] loss=0.087527 | best=0.087527 (epoch 83) | time=76.7s
[Epoch 084/150] loss=0.088221 | best=0.087527 (epoch 83) | time=71.0s
[Epoch 085/150] loss=0.085897 | best=0.085897 (epoch 85) | time=102.2s
[Epoch 086/150] loss=0.084080 | best=0.084080 (epoch 86) | time=81.0s
[Epoch 087/150] loss=0.085267 | best=0.084080 (epoch 86) | time=51.3s
[Epoch 088/150] loss=0.083509 | best=0.083509 (epoch 88) | time=75.1s
[Epoch 089/150] loss=0.078204 | best=0.078204 (epoch 89) | time=46.2s
[Epoch 090/150] loss=0.081516 | best=0.078204 (epoch 89) | time=63.5s
[Epoch 091/150] loss=0.080106 | best=0.078204 (epoch 89) | time=75.5s
[Epoch 092/150] loss=0.078906 | best=0.078204 (epoch 89) | time=41.2s
[Epoch 093/150] loss=0.078867 | best=0.078204 (epoch 89) | time=66.8s
[Epoch 094/150] loss=0.079064 | best=0.078204 (epoch 89) | time=79.6s
[Epoch 095/150] loss=0.078996 | best=0.078204 (epoch 89) | time=66.3s
[Epoch 096/150] loss=0.074810 | best=0.074810 (epoch 96) | time=102.1s
[Epoch 097/150] loss=0.075551 | best=0.074810 (epoch 96) | time=76.7s
[Epoch 098/150] loss=0.071963 | best=0.071963 (epoch 98) | time=87.0s
[Epoch 099/150] loss=0.074110 | best=0.071963 (epoch 98) | time=56.2s
[Epoch 100/150] loss=0.070221 | best=0.070221 (epoch 100) | time=45.5s
[Epoch 101/150] loss=0.073343 | best=0.070221 (epoch 100) | time=68.3s
[Epoch 102/150] loss=0.069259 | best=0.069259 (epoch 102) | time=71.5s
[Epoch 103/150] loss=0.069593 | best=0.069259 (epoch 102) | time=42.9s
