============================================================
[START] 2026-03-19 13:54:07 worker=1 gpu=2 cfg=config/base_hpo3_reconst_10.yaml mode=full
============================================================
[INFO] CUDA_VISIBLE_DEVICES=2
[INFO] MODE=full
[INFO] BASE_CFG=config/base_hpo3_reconst_10.yaml
[INFO] device: cuda
[INFO] visible GPUs: 0
[INFO] device: cuda
[INFO] pretrain mode: reconstruction
[INFO] save_dir: runs/hpo_stage1c_reconst/pretrain/pohang_hpo3_reconst_L6_D128_BP3_50
[INFO] model params: 19,688,513
[Epoch 001/150] loss=7.129711 | best=7.129711 (epoch 1) | time=39.8s
[Epoch 002/150] loss=4.369875 | best=4.369875 (epoch 2) | time=40.6s
[Epoch 003/150] loss=3.112344 | best=3.112344 (epoch 3) | time=39.7s
[Epoch 004/150] loss=2.137264 | best=2.137264 (epoch 4) | time=39.1s
[Epoch 005/150] loss=1.540205 | best=1.540205 (epoch 5) | time=42.3s
[Epoch 006/150] loss=1.181553 | best=1.181553 (epoch 6) | time=42.8s
[Epoch 007/150] loss=0.967585 | best=0.967585 (epoch 7) | time=45.1s
[Epoch 008/150] loss=0.858564 | best=0.858564 (epoch 8) | time=42.8s
[Epoch 009/150] loss=0.767143 | best=0.767143 (epoch 9) | time=54.8s
[Epoch 010/150] loss=0.695475 | best=0.695475 (epoch 10) | time=40.0s
[Epoch 011/150] loss=0.642866 | best=0.642866 (epoch 11) | time=39.1s
[Epoch 012/150] loss=0.597469 | best=0.597469 (epoch 12) | time=37.7s
[Epoch 013/150] loss=0.552878 | best=0.552878 (epoch 13) | time=52.9s
[Epoch 014/150] loss=0.528215 | best=0.528215 (epoch 14) | time=52.6s
[Epoch 015/150] loss=0.496978 | best=0.496978 (epoch 15) | time=48.7s
[Epoch 016/150] loss=0.477752 | best=0.477752 (epoch 16) | time=53.2s
[Epoch 017/150] loss=0.467574 | best=0.467574 (epoch 17) | time=43.5s
[Epoch 018/150] loss=0.464144 | best=0.464144 (epoch 18) | time=40.3s
[Epoch 019/150] loss=0.449442 | best=0.449442 (epoch 19) | time=41.4s
[Epoch 020/150] loss=0.433439 | best=0.433439 (epoch 20) | time=36.9s
[Epoch 021/150] loss=0.438210 | best=0.433439 (epoch 20) | time=40.7s
[Epoch 022/150] loss=0.423710 | best=0.423710 (epoch 22) | time=50.5s
[Epoch 023/150] loss=0.412371 | best=0.412371 (epoch 23) | time=42.3s
[Epoch 024/150] loss=0.406360 | best=0.406360 (epoch 24) | time=38.9s
[Epoch 025/150] loss=0.400843 | best=0.400843 (epoch 25) | time=43.0s
[Epoch 026/150] loss=0.394288 | best=0.394288 (epoch 26) | time=44.4s
[Epoch 027/150] loss=0.364442 | best=0.364442 (epoch 27) | time=50.6s
[Epoch 028/150] loss=0.350837 | best=0.350837 (epoch 28) | time=195.8s
[Epoch 029/150] loss=0.305908 | best=0.305908 (epoch 29) | time=128.8s
[Epoch 030/150] loss=0.299709 | best=0.299709 (epoch 30) | time=74.3s
[Epoch 031/150] loss=0.280599 | best=0.280599 (epoch 31) | time=55.8s
[Epoch 032/150] loss=0.255705 | best=0.255705 (epoch 32) | time=71.9s
[Epoch 033/150] loss=0.248047 | best=0.248047 (epoch 33) | time=44.5s
[Epoch 034/150] loss=0.229260 | best=0.229260 (epoch 34) | time=42.5s
[Epoch 035/150] loss=0.213931 | best=0.213931 (epoch 35) | time=43.0s
[Epoch 036/150] loss=0.213099 | best=0.213099 (epoch 36) | time=37.4s
[Epoch 037/150] loss=0.196556 | best=0.196556 (epoch 37) | time=40.0s
[Epoch 038/150] loss=0.187758 | best=0.187758 (epoch 38) | time=41.6s
[Epoch 039/150] loss=0.181677 | best=0.181677 (epoch 39) | time=94.2s
[Epoch 040/150] loss=0.182529 | best=0.181677 (epoch 39) | time=69.5s
[Epoch 041/150] loss=0.166580 | best=0.166580 (epoch 41) | time=51.1s
[Epoch 042/150] loss=0.163408 | best=0.163408 (epoch 42) | time=100.0s
[Epoch 043/150] loss=0.157517 | best=0.157517 (epoch 43) | time=92.1s
[Epoch 044/150] loss=0.151612 | best=0.151612 (epoch 44) | time=42.8s
[Epoch 045/150] loss=0.150587 | best=0.150587 (epoch 45) | time=96.1s
[Epoch 046/150] loss=0.153536 | best=0.150587 (epoch 45) | time=45.5s
[Epoch 047/150] loss=0.145457 | best=0.145457 (epoch 47) | time=61.0s
[Epoch 048/150] loss=0.150693 | best=0.145457 (epoch 47) | time=46.4s
[Epoch 049/150] loss=0.144290 | best=0.144290 (epoch 49) | time=39.7s
[Epoch 050/150] loss=0.139444 | best=0.139444 (epoch 50) | time=63.9s
[Epoch 051/150] loss=0.135220 | best=0.135220 (epoch 51) | time=66.0s
[Epoch 052/150] loss=0.135901 | best=0.135220 (epoch 51) | time=38.4s
[Epoch 053/150] loss=0.133247 | best=0.133247 (epoch 53) | time=38.4s
[Epoch 054/150] loss=0.129937 | best=0.129937 (epoch 54) | time=101.8s
[Epoch 055/150] loss=0.130900 | best=0.129937 (epoch 54) | time=49.7s
[Epoch 056/150] loss=0.130195 | best=0.129937 (epoch 54) | time=90.8s
[Epoch 057/150] loss=0.128467 | best=0.128467 (epoch 57) | time=152.9s
[Epoch 058/150] loss=0.125632 | best=0.125632 (epoch 58) | time=66.7s
[Epoch 059/150] loss=0.123664 | best=0.123664 (epoch 59) | time=103.8s
[Epoch 060/150] loss=0.121503 | best=0.121503 (epoch 60) | time=137.9s
[Epoch 061/150] loss=0.119693 | best=0.119693 (epoch 61) | time=123.7s
[Epoch 062/150] loss=0.119276 | best=0.119276 (epoch 62) | time=132.6s
[Epoch 063/150] loss=0.124293 | best=0.119276 (epoch 62) | time=61.7s
[Epoch 064/150] loss=0.120139 | best=0.119276 (epoch 62) | time=79.6s
[Epoch 065/150] loss=0.121087 | best=0.119276 (epoch 62) | time=40.5s
[Epoch 066/150] loss=0.119105 | best=0.119105 (epoch 66) | time=84.6s
[Epoch 067/150] loss=0.114194 | best=0.114194 (epoch 67) | time=81.7s
[Epoch 068/150] loss=0.116748 | best=0.114194 (epoch 67) | time=43.8s
[Epoch 069/150] loss=0.113754 | best=0.113754 (epoch 69) | time=43.9s
