============================================================
[START] 2026-03-19 13:51:02 worker=3 gpu=4 cfg=config/base_hpo3_reconst_12.yaml mode=full
============================================================
[INFO] CUDA_VISIBLE_DEVICES=4
[INFO] MODE=full
[INFO] BASE_CFG=config/base_hpo3_reconst_12.yaml
[INFO] device: cuda
[INFO] visible GPUs: 0
[INFO] device: cuda
[INFO] pretrain mode: reconstruction
[INFO] save_dir: runs/hpo_stage1c_reconst/pretrain/pohang_hpo3_reconst_L6_D128_BP5_80
[INFO] model params: 19,688,513
[Epoch 001/150] loss=4.799100 | best=4.799100 (epoch 1) | time=36.7s
[Epoch 002/150] loss=2.600807 | best=2.600807 (epoch 2) | time=40.9s
[Epoch 003/150] loss=2.518591 | best=2.518591 (epoch 3) | time=40.5s
[Epoch 004/150] loss=2.233474 | best=2.233474 (epoch 4) | time=40.0s
[Epoch 005/150] loss=1.806174 | best=1.806174 (epoch 5) | time=41.4s
[Epoch 006/150] loss=1.406424 | best=1.406424 (epoch 6) | time=40.7s
[Epoch 007/150] loss=1.078236 | best=1.078236 (epoch 7) | time=39.6s
[Epoch 008/150] loss=0.886417 | best=0.886417 (epoch 8) | time=39.4s
[Epoch 009/150] loss=0.750003 | best=0.750003 (epoch 9) | time=38.1s
[Epoch 010/150] loss=0.659704 | best=0.659704 (epoch 10) | time=40.1s
[Epoch 011/150] loss=0.590686 | best=0.590686 (epoch 11) | time=40.2s
[Epoch 012/150] loss=0.529734 | best=0.529734 (epoch 12) | time=42.4s
[Epoch 013/150] loss=0.489485 | best=0.489485 (epoch 13) | time=41.1s
[Epoch 014/150] loss=0.459530 | best=0.459530 (epoch 14) | time=55.6s
[Epoch 015/150] loss=0.421755 | best=0.421755 (epoch 15) | time=48.3s
[Epoch 016/150] loss=0.402014 | best=0.402014 (epoch 16) | time=50.3s
[Epoch 017/150] loss=0.383886 | best=0.383886 (epoch 17) | time=55.6s
[Epoch 018/150] loss=0.367845 | best=0.367845 (epoch 18) | time=49.8s
[Epoch 019/150] loss=0.353744 | best=0.353744 (epoch 19) | time=43.3s
[Epoch 020/150] loss=0.334981 | best=0.334981 (epoch 20) | time=41.7s
[Epoch 021/150] loss=0.326565 | best=0.326565 (epoch 21) | time=46.0s
[Epoch 022/150] loss=0.315640 | best=0.315640 (epoch 22) | time=51.7s
[Epoch 023/150] loss=0.306619 | best=0.306619 (epoch 23) | time=45.1s
[Epoch 024/150] loss=0.300411 | best=0.300411 (epoch 24) | time=40.8s
[Epoch 025/150] loss=0.295810 | best=0.295810 (epoch 25) | time=46.7s
[Epoch 026/150] loss=0.289483 | best=0.289483 (epoch 26) | time=49.5s
[Epoch 027/150] loss=0.277489 | best=0.277489 (epoch 27) | time=37.5s
[Epoch 028/150] loss=0.280146 | best=0.277489 (epoch 27) | time=37.1s
[Epoch 029/150] loss=0.271637 | best=0.271637 (epoch 29) | time=45.8s
[Epoch 030/150] loss=0.273782 | best=0.271637 (epoch 29) | time=45.8s
[Epoch 031/150] loss=0.269139 | best=0.269139 (epoch 31) | time=40.6s
[Epoch 032/150] loss=0.264306 | best=0.264306 (epoch 32) | time=38.4s
[Epoch 033/150] loss=0.266887 | best=0.264306 (epoch 32) | time=154.4s
[Epoch 034/150] loss=0.262877 | best=0.262877 (epoch 34) | time=45.4s
[Epoch 035/150] loss=0.258952 | best=0.258952 (epoch 35) | time=110.3s
[Epoch 036/150] loss=0.258121 | best=0.258121 (epoch 36) | time=89.0s
[Epoch 037/150] loss=0.257118 | best=0.257118 (epoch 37) | time=49.4s
[Epoch 038/150] loss=0.253852 | best=0.253852 (epoch 38) | time=73.1s
[Epoch 039/150] loss=0.252281 | best=0.252281 (epoch 39) | time=47.3s
[Epoch 040/150] loss=0.252763 | best=0.252281 (epoch 39) | time=35.8s
[Epoch 041/150] loss=0.248412 | best=0.248412 (epoch 41) | time=41.2s
[Epoch 042/150] loss=0.249044 | best=0.248412 (epoch 41) | time=39.9s
[Epoch 043/150] loss=0.246176 | best=0.246176 (epoch 43) | time=46.3s
[Epoch 044/150] loss=0.240654 | best=0.240654 (epoch 44) | time=85.8s
[Epoch 045/150] loss=0.240050 | best=0.240050 (epoch 45) | time=44.4s
[Epoch 046/150] loss=0.238843 | best=0.238843 (epoch 46) | time=88.7s
[Epoch 047/150] loss=0.233746 | best=0.233746 (epoch 47) | time=103.5s
[Epoch 048/150] loss=0.236079 | best=0.233746 (epoch 47) | time=37.0s
[Epoch 049/150] loss=0.232202 | best=0.232202 (epoch 49) | time=95.7s
[Epoch 050/150] loss=0.227112 | best=0.227112 (epoch 50) | time=92.0s
[Epoch 051/150] loss=0.218258 | best=0.218258 (epoch 51) | time=40.4s
[Epoch 052/150] loss=0.212819 | best=0.212819 (epoch 52) | time=66.5s
[Epoch 053/150] loss=0.208993 | best=0.208993 (epoch 53) | time=42.9s
[Epoch 054/150] loss=0.203504 | best=0.203504 (epoch 54) | time=50.2s
[Epoch 055/150] loss=0.199641 | best=0.199641 (epoch 55) | time=41.1s
[Epoch 056/150] loss=0.194378 | best=0.194378 (epoch 56) | time=47.3s
[Epoch 057/150] loss=0.191686 | best=0.191686 (epoch 57) | time=59.6s
[Epoch 058/150] loss=0.187612 | best=0.187612 (epoch 58) | time=44.4s
[Epoch 059/150] loss=0.184300 | best=0.184300 (epoch 59) | time=94.5s
[Epoch 060/150] loss=0.180336 | best=0.180336 (epoch 60) | time=51.8s
[Epoch 061/150] loss=0.178463 | best=0.178463 (epoch 61) | time=129.4s
[Epoch 062/150] loss=0.176409 | best=0.176409 (epoch 62) | time=143.4s
[Epoch 063/150] loss=0.173291 | best=0.173291 (epoch 63) | time=68.7s
[Epoch 064/150] loss=0.172294 | best=0.172294 (epoch 64) | time=105.9s
[Epoch 065/150] loss=0.170128 | best=0.170128 (epoch 65) | time=120.4s
[Epoch 066/150] loss=0.173636 | best=0.170128 (epoch 65) | time=66.3s
[Epoch 067/150] loss=0.165384 | best=0.165384 (epoch 67) | time=116.8s
[Epoch 068/150] loss=0.170593 | best=0.165384 (epoch 67) | time=91.6s
[Epoch 069/150] loss=0.163813 | best=0.163813 (epoch 69) | time=71.8s
[Epoch 070/150] loss=0.158928 | best=0.158928 (epoch 70) | time=104.3s
[Epoch 071/150] loss=0.160956 | best=0.158928 (epoch 70) | time=71.8s
[Epoch 072/150] loss=0.158146 | best=0.158146 (epoch 72) | time=82.0s
[Epoch 073/150] loss=0.162077 | best=0.158146 (epoch 72) | time=38.5s
[Epoch 074/150] loss=0.155551 | best=0.155551 (epoch 74) | time=43.4s
[Epoch 075/150] loss=0.159564 | best=0.155551 (epoch 74) | time=68.8s
[Epoch 076/150] loss=0.153398 | best=0.153398 (epoch 76) | time=91.9s
[Epoch 077/150] loss=0.152824 | best=0.152824 (epoch 77) | time=101.7s
[Epoch 078/150] loss=0.153555 | best=0.152824 (epoch 77) | time=69.3s
[Epoch 079/150] loss=0.156453 | best=0.152824 (epoch 77) | time=40.2s
[Epoch 080/150] loss=0.150704 | best=0.150704 (epoch 80) | time=104.1s
[Epoch 081/150] loss=0.152154 | best=0.150704 (epoch 80) | time=124.4s
[Epoch 082/150] loss=0.145576 | best=0.145576 (epoch 82) | time=542.9s
[Epoch 083/150] loss=0.146895 | best=0.145576 (epoch 82) | time=166.1s
[Epoch 084/150] loss=0.142754 | best=0.142754 (epoch 84) | time=408.0s
[Epoch 085/150] loss=0.145575 | best=0.142754 (epoch 84) | time=129.4s
[Epoch 086/150] loss=0.146194 | best=0.142754 (epoch 84) | time=130.9s
[Epoch 087/150] loss=0.145397 | best=0.142754 (epoch 84) | time=123.9s
[Epoch 088/150] loss=0.145224 | best=0.142754 (epoch 84) | time=96.2s
[Epoch 089/150] loss=0.140943 | best=0.140943 (epoch 89) | time=168.7s
[Epoch 090/150] loss=0.144562 | best=0.140943 (epoch 89) | time=102.8s
[Epoch 091/150] loss=0.142050 | best=0.140943 (epoch 89) | time=106.5s
[Epoch 092/150] loss=0.144954 | best=0.140943 (epoch 89) | time=98.0s
[Epoch 093/150] loss=0.141000 | best=0.140943 (epoch 89) | time=90.8s
[Epoch 094/150] loss=0.141218 | best=0.140943 (epoch 89) | time=44.6s
[Epoch 095/150] loss=0.140365 | best=0.140365 (epoch 95) | time=92.4s
[Epoch 096/150] loss=0.141852 | best=0.140365 (epoch 95) | time=57.2s
[Epoch 097/150] loss=0.137910 | best=0.137910 (epoch 97) | time=53.5s
[Epoch 098/150] loss=0.138730 | best=0.137910 (epoch 97) | time=38.6s
[Epoch 099/150] loss=0.135601 | best=0.135601 (epoch 99) | time=42.2s
[Epoch 100/150] loss=0.137790 | best=0.135601 (epoch 99) | time=40.0s
[Epoch 101/150] loss=0.134968 | best=0.134968 (epoch 101) | time=46.8s
[Epoch 102/150] loss=0.136847 | best=0.134968 (epoch 101) | time=57.6s
[Epoch 103/150] loss=0.135027 | best=0.134968 (epoch 101) | time=41.5s
[Epoch 104/150] loss=0.137300 | best=0.134968 (epoch 101) | time=50.1s
[Epoch 105/150] loss=0.136021 | best=0.134968 (epoch 101) | time=66.8s
[Epoch 106/150] loss=0.133006 | best=0.133006 (epoch 106) | time=66.8s
[Epoch 107/150] loss=0.133859 | best=0.133006 (epoch 106) | time=44.4s
[Epoch 108/150] loss=0.132186 | best=0.132186 (epoch 108) | time=58.8s
[Epoch 109/150] loss=0.136070 | best=0.132186 (epoch 108) | time=48.8s
[Epoch 110/150] loss=0.133318 | best=0.132186 (epoch 108) | time=40.2s
[Epoch 111/150] loss=0.134553 | best=0.132186 (epoch 108) | time=59.9s
[Epoch 112/150] loss=0.132262 | best=0.132186 (epoch 108) | time=68.7s
[Epoch 113/150] loss=0.132694 | best=0.132186 (epoch 108) | time=66.3s
[Epoch 114/150] loss=0.132482 | best=0.132186 (epoch 108) | time=55.3s
[Epoch 115/150] loss=0.133002 | best=0.132186 (epoch 108) | time=60.2s
[Epoch 116/150] loss=0.134415 | best=0.132186 (epoch 108) | time=40.1s
[Epoch 117/150] loss=0.131433 | best=0.131433 (epoch 117) | time=52.2s
[Epoch 118/150] loss=0.132392 | best=0.131433 (epoch 117) | time=64.7s
[Epoch 119/150] loss=0.129522 | best=0.129522 (epoch 119) | time=84.2s
[Epoch 120/150] loss=0.131311 | best=0.129522 (epoch 119) | time=47.9s
[Epoch 121/150] loss=0.130171 | best=0.129522 (epoch 119) | time=66.6s
[Epoch 122/150] loss=0.129492 | best=0.129492 (epoch 122) | time=87.9s
[Epoch 123/150] loss=0.128874 | best=0.128874 (epoch 123) | time=97.4s
[Epoch 124/150] loss=0.129066 | best=0.128874 (epoch 123) | time=55.6s
[Epoch 125/150] loss=0.129326 | best=0.128874 (epoch 123) | time=62.1s
[Epoch 126/150] loss=0.128764 | best=0.128764 (epoch 126) | time=100.7s
[Epoch 127/150] loss=0.129498 | best=0.128764 (epoch 126) | time=55.4s
[Epoch 128/150] loss=0.127655 | best=0.127655 (epoch 128) | time=44.2s
[Epoch 129/150] loss=0.128072 | best=0.127655 (epoch 128) | time=58.7s
[Epoch 130/150] loss=0.127511 | best=0.127511 (epoch 130) | time=93.6s
[Epoch 131/150] loss=0.127703 | best=0.127511 (epoch 130) | time=52.2s
[Epoch 132/150] loss=0.126654 | best=0.126654 (epoch 132) | time=43.5s
[Epoch 133/150] loss=0.125337 | best=0.125337 (epoch 133) | time=41.8s
[Epoch 134/150] loss=0.130041 | best=0.125337 (epoch 133) | time=41.2s
[Epoch 135/150] loss=0.128108 | best=0.125337 (epoch 133) | time=54.8s
[Epoch 136/150] loss=0.128614 | best=0.125337 (epoch 133) | time=47.4s
[Epoch 137/150] loss=0.125976 | best=0.125337 (epoch 133) | time=39.7s
[Epoch 138/150] loss=0.127116 | best=0.125337 (epoch 133) | time=39.0s
[Epoch 139/150] loss=0.124696 | best=0.124696 (epoch 139) | time=55.7s
[Epoch 140/150] loss=0.125925 | best=0.124696 (epoch 139) | time=48.1s
[Epoch 141/150] loss=0.123056 | best=0.123056 (epoch 141) | time=64.0s
[Epoch 142/150] loss=0.126417 | best=0.123056 (epoch 141) | time=49.4s
[Epoch 143/150] loss=0.124769 | best=0.123056 (epoch 141) | time=43.0s
[Epoch 144/150] loss=0.127329 | best=0.123056 (epoch 141) | time=35.9s
[Epoch 145/150] loss=0.125069 | best=0.123056 (epoch 141) | time=43.7s
[Epoch 146/150] loss=0.122594 | best=0.122594 (epoch 146) | time=80.0s
[Epoch 147/150] loss=0.123386 | best=0.122594 (epoch 146) | time=42.1s
[Epoch 148/150] loss=0.122760 | best=0.122594 (epoch 146) | time=37.6s
[Epoch 149/150] loss=0.122101 | best=0.122101 (epoch 149) | time=39.1s
[Epoch 150/150] loss=0.120683 | best=0.120683 (epoch 150) | time=48.8s
[DONE] training finished in 173.11 min
[DONE] best loss = 0.120683 at epoch 150
/home/ted1204/MS_Detection/src/training/trainer_finetune.py:186: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  ckpt = torch.load(encoder_ckpt_path, map_location="cpu")
[INFO] device: cuda
[INFO] visible GPUs: 0
[INFO] device: cuda
[INFO] save_dir: runs/hpo_stage1c_reconst/finetune/pohang_hpo3_reconst_L6_D128_BP5_80
[INFO] model params: 6,421,473
[DEBUG] pretrained_encoder_path = runs/hpo_stage1c_reconst/pretrain/pohang_hpo3_reconst_L6_D128_BP5_80/best_encoder.pt
[INFO] loaded encoder weights from: runs/hpo_stage1c_reconst/pretrain/pohang_hpo3_reconst_L6_D128_BP5_80/best_encoder.pt
[INFO] encoder load missing keys   : 0
[INFO] encoder load unexpected keys: 0
[INFO] center_c shape: (128,)
[Epoch 001/100] train_loss=0.982984 | val_loss=0.945360 | val_acc=0.6609 | best_metric=0.6609 (epoch 1) | time=11.1s
[Epoch 002/100] train_loss=0.783376 | val_loss=0.795293 | val_acc=0.7232 | best_metric=0.7232 (epoch 2) | time=13.5s
[Epoch 003/100] train_loss=0.709822 | val_loss=0.697749 | val_acc=0.7336 | best_metric=0.7336 (epoch 3) | time=14.0s
[Epoch 004/100] train_loss=0.661820 | val_loss=0.733912 | val_acc=0.7232 | best_metric=0.7336 (epoch 3) | time=11.2s
[Epoch 005/100] train_loss=0.618768 | val_loss=0.801168 | val_acc=0.5744 | best_metric=0.7336 (epoch 3) | time=11.3s
