============================================================
[START] 2026-03-19 13:57:21 worker=2 gpu=3 cfg=config/base_hpo3_reconst_11.yaml mode=full
============================================================
[INFO] CUDA_VISIBLE_DEVICES=3
[INFO] MODE=full
[INFO] BASE_CFG=config/base_hpo3_reconst_11.yaml
[INFO] device: cuda
[INFO] visible GPUs: 0
[INFO] device: cuda
[INFO] pretrain mode: reconstruction
[INFO] save_dir: runs/hpo_stage1c_reconst/pretrain/pohang_hpo3_reconst_L6_D128_BP5_60
[INFO] model params: 19,688,513
[Epoch 001/150] loss=5.823381 | best=5.823381 (epoch 1) | time=38.9s
[Epoch 002/150] loss=3.557709 | best=3.557709 (epoch 2) | time=40.4s
[Epoch 003/150] loss=3.295633 | best=3.295633 (epoch 3) | time=37.2s
[Epoch 004/150] loss=2.532990 | best=2.532990 (epoch 4) | time=38.5s
[Epoch 005/150] loss=1.876389 | best=1.876389 (epoch 5) | time=45.3s
[Epoch 006/150] loss=1.309267 | best=1.309267 (epoch 6) | time=46.5s
[Epoch 007/150] loss=1.035395 | best=1.035395 (epoch 7) | time=50.2s
[Epoch 008/150] loss=0.870551 | best=0.870551 (epoch 8) | time=59.9s
[Epoch 009/150] loss=0.743086 | best=0.743086 (epoch 9) | time=56.0s
[Epoch 010/150] loss=0.657250 | best=0.657250 (epoch 10) | time=48.6s
[Epoch 011/150] loss=0.592861 | best=0.592861 (epoch 11) | time=40.4s
[Epoch 012/150] loss=0.538311 | best=0.538311 (epoch 12) | time=36.2s
[Epoch 013/150] loss=0.497654 | best=0.497654 (epoch 13) | time=48.3s
[Epoch 014/150] loss=0.471472 | best=0.471472 (epoch 14) | time=45.5s
[Epoch 015/150] loss=0.438841 | best=0.438841 (epoch 15) | time=42.8s
[Epoch 016/150] loss=0.417940 | best=0.417940 (epoch 16) | time=47.3s
[Epoch 017/150] loss=0.403920 | best=0.403920 (epoch 17) | time=49.5s
[Epoch 018/150] loss=0.395559 | best=0.395559 (epoch 18) | time=41.1s
[Epoch 019/150] loss=0.378687 | best=0.378687 (epoch 19) | time=38.8s
[Epoch 020/150] loss=0.361446 | best=0.361446 (epoch 20) | time=40.8s
[Epoch 021/150] loss=0.363888 | best=0.361446 (epoch 20) | time=45.5s
[Epoch 022/150] loss=0.349517 | best=0.349517 (epoch 22) | time=50.0s
[Epoch 023/150] loss=0.340244 | best=0.340244 (epoch 23) | time=177.0s
[Epoch 024/150] loss=0.334310 | best=0.334310 (epoch 24) | time=46.6s
[Epoch 025/150] loss=0.330305 | best=0.330305 (epoch 25) | time=111.8s
[Epoch 026/150] loss=0.325940 | best=0.325940 (epoch 26) | time=98.0s
[Epoch 027/150] loss=0.312492 | best=0.312492 (epoch 27) | time=63.8s
[Epoch 028/150] loss=0.315407 | best=0.312492 (epoch 27) | time=52.4s
[Epoch 029/150] loss=0.309505 | best=0.309505 (epoch 29) | time=52.0s
[Epoch 030/150] loss=0.314545 | best=0.309505 (epoch 29) | time=38.4s
[Epoch 031/150] loss=0.308473 | best=0.308473 (epoch 31) | time=38.8s
[Epoch 032/150] loss=0.299511 | best=0.299511 (epoch 32) | time=39.8s
[Epoch 033/150] loss=0.305892 | best=0.299511 (epoch 32) | time=39.7s
[Epoch 034/150] loss=0.296813 | best=0.296813 (epoch 34) | time=102.5s
[Epoch 035/150] loss=0.292745 | best=0.292745 (epoch 35) | time=86.2s
[Epoch 036/150] loss=0.291211 | best=0.291211 (epoch 36) | time=49.7s
[Epoch 037/150] loss=0.281157 | best=0.281157 (epoch 37) | time=99.3s
[Epoch 038/150] loss=0.273822 | best=0.273822 (epoch 38) | time=97.8s
[Epoch 039/150] loss=0.263287 | best=0.263287 (epoch 39) | time=42.5s
[Epoch 040/150] loss=0.253808 | best=0.253808 (epoch 40) | time=91.5s
[Epoch 041/150] loss=0.233075 | best=0.233075 (epoch 41) | time=62.4s
[Epoch 042/150] loss=0.229759 | best=0.229759 (epoch 42) | time=43.2s
[Epoch 043/150] loss=0.221841 | best=0.221841 (epoch 43) | time=52.1s
[Epoch 044/150] loss=0.211563 | best=0.211563 (epoch 44) | time=42.5s
[Epoch 045/150] loss=0.198105 | best=0.198105 (epoch 45) | time=58.3s
[Epoch 046/150] loss=0.192833 | best=0.192833 (epoch 46) | time=63.8s
[Epoch 047/150] loss=0.185690 | best=0.185690 (epoch 47) | time=50.8s
[Epoch 048/150] loss=0.185238 | best=0.185238 (epoch 48) | time=111.2s
[Epoch 049/150] loss=0.176909 | best=0.176909 (epoch 49) | time=40.4s
[Epoch 050/150] loss=0.174644 | best=0.174644 (epoch 50) | time=115.0s
[Epoch 051/150] loss=0.163600 | best=0.163600 (epoch 51) | time=142.1s
[Epoch 052/150] loss=0.159787 | best=0.159787 (epoch 52) | time=72.3s
[Epoch 053/150] loss=0.155099 | best=0.155099 (epoch 53) | time=105.1s
[Epoch 054/150] loss=0.152381 | best=0.152381 (epoch 54) | time=119.7s
[Epoch 055/150] loss=0.149861 | best=0.149861 (epoch 55) | time=76.3s
[Epoch 056/150] loss=0.147922 | best=0.147922 (epoch 56) | time=114.8s
[Epoch 057/150] loss=0.146720 | best=0.146720 (epoch 57) | time=129.7s
[Epoch 058/150] loss=0.141913 | best=0.141913 (epoch 58) | time=119.6s
[Epoch 059/150] loss=0.140100 | best=0.140100 (epoch 59) | time=91.8s
[Epoch 060/150] loss=0.138870 | best=0.138870 (epoch 60) | time=88.5s
