============================================================
[START] 2026-03-19 13:46:42 worker=0 gpu=1 cfg=config/base_hpo3_reconst_09.yaml mode=full
============================================================
[INFO] CUDA_VISIBLE_DEVICES=1
[INFO] MODE=full
[INFO] BASE_CFG=config/base_hpo3_reconst_09.yaml
[INFO] device: cuda
[INFO] visible GPUs: 0
[INFO] device: cuda
[INFO] pretrain mode: reconstruction
[INFO] save_dir: runs/hpo_stage1c_reconst/pretrain/pohang_hpo3_reconst_L5_D512_BP5_80
[INFO] model params: 8,805,825
[Epoch 001/150] loss=5.182235 | best=5.182235 (epoch 1) | time=45.9s
[Epoch 002/150] loss=2.602373 | best=2.602373 (epoch 2) | time=48.2s
[Epoch 003/150] loss=2.355126 | best=2.355126 (epoch 3) | time=51.2s
[Epoch 004/150] loss=1.289001 | best=1.289001 (epoch 4) | time=45.4s
[Epoch 005/150] loss=0.627556 | best=0.627556 (epoch 5) | time=43.9s
[Epoch 006/150] loss=0.417152 | best=0.417152 (epoch 6) | time=45.5s
[Epoch 007/150] loss=0.338141 | best=0.338141 (epoch 7) | time=44.3s
[Epoch 008/150] loss=0.294888 | best=0.294888 (epoch 8) | time=46.4s
[Epoch 009/150] loss=0.265021 | best=0.265021 (epoch 9) | time=46.9s
[Epoch 010/150] loss=0.249623 | best=0.249623 (epoch 10) | time=46.5s
[Epoch 011/150] loss=0.238051 | best=0.238051 (epoch 11) | time=46.7s
[Epoch 012/150] loss=0.223438 | best=0.223438 (epoch 12) | time=45.5s
[Epoch 013/150] loss=0.219215 | best=0.219215 (epoch 13) | time=45.4s
[Epoch 014/150] loss=0.208193 | best=0.208193 (epoch 14) | time=45.3s
[Epoch 015/150] loss=0.204774 | best=0.204774 (epoch 15) | time=44.6s
[Epoch 016/150] loss=0.190122 | best=0.190122 (epoch 16) | time=48.1s
[Epoch 017/150] loss=0.177907 | best=0.177907 (epoch 17) | time=45.6s
[Epoch 018/150] loss=0.166398 | best=0.166398 (epoch 18) | time=51.5s
[Epoch 019/150] loss=0.152084 | best=0.152084 (epoch 19) | time=49.8s
[Epoch 020/150] loss=0.146548 | best=0.146548 (epoch 20) | time=50.0s
[Epoch 021/150] loss=0.136328 | best=0.136328 (epoch 21) | time=57.9s
[Epoch 022/150] loss=0.124208 | best=0.124208 (epoch 22) | time=51.5s
[Epoch 023/150] loss=0.123567 | best=0.123567 (epoch 23) | time=51.6s
[Epoch 024/150] loss=0.108266 | best=0.108266 (epoch 24) | time=51.6s
[Epoch 025/150] loss=0.105993 | best=0.105993 (epoch 25) | time=45.3s
[Epoch 026/150] loss=0.102436 | best=0.102436 (epoch 26) | time=43.3s
